legislator,party,dem_alignment,n_party_split_votes,terms
RITTER,D,0.982,335,23-24+25-26
ROBERTS,D,0.985,334,23-24+25-26
ROCHELLE,D,0.979,326,23-24+25-26
ROJAS,D,0.997,335,23-24+25-26
ROMANO,R,0.043,161,25-26
ROSARIO,D,0.972,318,23-24+25-26
RUTIGLIANO,R,0.176,335,23-24+25-26
RYAN,D,0.988,243,23-24+25-26
"SANCHEZ, E.",D,0.985,325,23-24+25-26
"SANCHEZ, I.",D,0.983,59,25-26
"SANCHEZ, J.",D,0.975,325,23-24+25-26
"SANCHEZ, R.",D,0.948,252,23-24+25-26
SANTANELLA,D,0.89,172,25-26
SANTIAGO,D,0.961,335,23-24+25-26
SANTOS,D,0.969,326,23-24+25-26
SCOTT,R,0.091,320,23-24+25-26
SHAKE,D,0.983,177,25-26
SHANNON,D,0.994,177,25-26
SIMMS,D,0.973,292,23-24+25-26
SMITH,D,0.97,334,23-24+25-26
STAFSTROM,D,0.99,314,23-24+25-26
STEINBERG,D,0.956,321,23-24+25-26
STEWART,R,0.092,76,25-26
SWEET,D,0.994,177,25-26
TERCYAK,D,0.953,148,23-24
TURCO,D,0.982,335,23-24+25-26
VAIL,R,0.084,335,23-24+25-26
VEACH,R,0.003,289,23-24+25-26
WALKER,D,0.983,289,23-24+25-26
WEIR,R,0.03,335,23-24+25-26
WELANDER,D,0.969,320,23-24+25-26
WILLIAMS,UNK,,0,23-24
WILSON,D,0.985,334,23-24+25-26
WINTER,D,0.989,177,25-26
WOOD,D,0.866,314,23-24+25-26
YACCARINO,R,0.128,335,23-24+25-26
ZAWISTOWSKI,R,0.039,335,23-24+25-26
ZULLO,R,0.131,321,23-24+25-26
ZUPKUS,R,0.009,325,23-24+25-26
