"Performance Index, 2014-15"
"State of Connecticut"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."
"Starting with 2018-19, Connecticut began implementation of new science assessments aligned to the Next Generation Science Standards."
"Therefore, 2018-19 science performance index scores cannot be compared to those from prior years; they can serve as a baseline for future years."

"District Name","Category","Student Group","ELACount","ELAPerformanceIndex","MathCount","MathPerformanceIndex","ScienceCount","SciencePerformanceIndex"
"State of Connecticut","All Students","State",267156,67.9,266482,59.3,122306,56.5
"State of Connecticut","English Language Learners (EL)","English Learners",18986,50.7,18999,44.0,7698,36.5
"State of Connecticut","English Language Learners (EL)","Not English Learners",248170,69.2,247483,60.5,114608,57.9
"State of Connecticut","High Needs (F/R, EL or SWD)","High Needs",123879,56.7,123538,47.8,55606,45.9
"State of Connecticut","High Needs (F/R, EL or SWD)","Not High Needs",143277,77.6,142944,69.3,66700,65.4
"State of Connecticut","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",99651,57.0,99383,47.8,44421,45.6
"State of Connecticut","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",167505,74.4,167099,66.2,77885,62.7
"State of Connecticut","Race/Ethnicity","American Indian or Alaska Native",734,62.5,735,53.2,338,53.0
"State of Connecticut","Race/Ethnicity","Asian",12863,78.4,12870,73.6,5553,64.2
"State of Connecticut","Race/Ethnicity","Black or African American",33794,56.2,33694,45.8,15756,44.1
"State of Connecticut","Race/Ethnicity","Hispanic or Latino",56716,57.3,56615,48.0,25170,45.5
"State of Connecticut","Race/Ethnicity","Native Hawaiian or Other Pacific Islander",220,68.8,219,58.8,109,52.3
"State of Connecticut","Race/Ethnicity","Two or More Races",6493,69.6,6478,60.6,2702,57.7
"State of Connecticut","Race/Ethnicity","White",156336,73.4,155871,65.1,72678,62.4
"State of Connecticut","Special Education Status (SWD)","Students with Disabilities",41371,48.3,41203,40.6,19272,41.6
"State of Connecticut","Special Education Status (SWD)","Students without Disabilities",225785,71.5,225279,62.7,103034,59.3

