"Performance Index, 2024-25"
"State of Connecticut"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."
"Starting with 2018-19, Connecticut began implementation of new science assessments aligned to the Next Generation Science Standards."
"Therefore, 2018-19 science performance index scores cannot be compared to those from prior years; they can serve as a baseline for future years."

"District Name","Category","Student Group","ELACount","ELAPerformanceIndex","MathCount","MathPerformanceIndex","ScienceCount","SciencePerformanceIndex"
"State of Connecticut","All Students","State",250735,64.7,250069,61.1,108574,62.6
"State of Connecticut","English Language Learners (EL)","English Learners",34222,50.8,34130,49.4,13162,48.1
"State of Connecticut","English Language Learners (EL)","Not English Learners",216513,66.9,215939,63.0,95412,64.6
"State of Connecticut","Gender","Female",122542,66.4,122211,60.3,52803,62.4
"State of Connecticut","Gender","Male",128025,63.2,127690,62.0,55634,62.7
"State of Connecticut","Gender","Non-Binary",168,68.5,168,57.2,137,69.7
"State of Connecticut","Grade","03",36099,66.5,36040,63.6,"N/A","N/A"
"State of Connecticut","Grade","04",34136,70.1,34080,67.4,"N/A","N/A"
"State of Connecticut","Grade","05",35853,66.9,35783,66.3,35805,66.4
"State of Connecticut","Grade","06",35904,67.6,35790,61.8,"N/A","N/A"
"State of Connecticut","Grade","07",36025,65.0,35858,60.4,"N/A","N/A"
"State of Connecticut","Grade","08",36387,62.7,36191,58.8,36284,63.0
"State of Connecticut","Grade","11",36331,54.7,36327,50.1,36485,58.4
"State of Connecticut","High Needs (F/R, EL or SWD)","High Needs",139012,54.9,138455,50.6,58638,52.1
"State of Connecticut","High Needs (F/R, EL or SWD)","Not High Needs",111723,76.9,111614,74.2,49936,74.9
"State of Connecticut","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",110844,55.0,110392,50.2,47193,52.2
"State of Connecticut","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",139891,72.4,139677,69.8,61381,70.6
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Free",96278,54.2,95864,49.3,40605,51.4
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Non-Subsidized",139891,72.4,139677,69.8,61381,70.6
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Reduced",14566,60.4,14528,56.4,6588,57.4
"State of Connecticut","Race/Ethnicity","American Indian or Alaska Native",571,61.0,570,56.9,238,56.8
"State of Connecticut","Race/Ethnicity","Asian",13389,77.2,13366,78.5,5683,77.4
"State of Connecticut","Race/Ethnicity","Black or African American",30506,54.5,30372,47.9,13643,49.8
"State of Connecticut","Race/Ethnicity","Hispanic or Latino",77140,55.0,76889,50.7,32884,52.5
"State of Connecticut","Race/Ethnicity","Native Hawaiian or Other Pacific Islander",226,62.7,225,59.6,108,57.8
"State of Connecticut","Race/Ethnicity","Two or More Races",12331,67.9,12287,63.9,5052,65.3
"State of Connecticut","Race/Ethnicity","White",116572,72.1,116360,69.2,50966,70.7
"State of Connecticut","Special Education Status (SWD)","Students with Disabilities",45631,45.8,45322,40.9,19070,43.8
"State of Connecticut","Special Education Status (SWD)","Students without Disabilities",205104,68.9,204747,65.6,89504,66.6

