"Performance Index, 2018-19"
"State of Connecticut"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."
"Starting with 2018-19, Connecticut began implementation of new science assessments aligned to the Next Generation Science Standards."
"Therefore, 2018-19 science performance index scores cannot be compared to those from prior years; they can serve as a baseline for future years."

"District Name","Category","Student Group","ELACount","ELAPerformanceIndex","MathCount","MathPerformanceIndex","ScienceCount","SciencePerformanceIndex"
"State of Connecticut","All Students","State",265484,67.7,264912,63.1,114517,63.8
"State of Connecticut","English Language Learners (EL)","English Learners",28548,55.0,28456,51.7,10914,51.4
"State of Connecticut","English Language Learners (EL)","Not English Learners",236936,69.2,236456,64.4,103603,65.1
"State of Connecticut","Gender","Female",129732,70.2,129487,63.2,55953,64.4
"State of Connecticut","Gender","Male",135731,65.2,135404,62.9,58550,63.2
"State of Connecticut","Gender","Non-Binary",21,75.0,21,64.4,"*","*"
"State of Connecticut","Grade","03",35960,69.9,35906,64.9,"N/A","N/A"
"State of Connecticut","Grade","04",37146,72.0,37093,68.4,"N/A","N/A"
"State of Connecticut","Grade","05",38140,69.6,38054,67.3,38083,67.6
"State of Connecticut","Grade","06",39153,70.3,39076,63.5,"N/A","N/A"
"State of Connecticut","Grade","07",38790,68.4,38626,62.1,"N/A","N/A"
"State of Connecticut","Grade","08",39007,65.7,38870,60.4,38991,64.5
"State of Connecticut","Grade","11",37288,57.7,37287,55.0,37443,59.1
"State of Connecticut","High Needs (F/R, EL or SWD)","High Needs",138396,58.1,137933,52.7,57164,54.2
"State of Connecticut","High Needs (F/R, EL or SWD)","Not High Needs",127088,78.1,126979,74.4,57353,73.4
"State of Connecticut","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",115443,58.5,115058,52.7,47580,54.3
"State of Connecticut","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",150041,74.7,149854,71.0,66937,70.5
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Free",97598,57.6,97244,51.7,39798,53.4
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Non-Subsidized",150041,74.7,149854,71.0,66937,70.5
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Reduced",17845,63.7,17814,58.6,7782,58.8
"State of Connecticut","Race/Ethnicity","American Indian or Alaska Native",684,62.3,681,57.5,276,58.2
"State of Connecticut","Race/Ethnicity","Asian",13496,79.5,13476,79.8,5795,76.3
"State of Connecticut","Race/Ethnicity","Black or African American",33765,56.8,33667,49.7,14392,50.8
"State of Connecticut","Race/Ethnicity","Hispanic or Latino",67382,58.1,67156,52.4,27512,53.8
"State of Connecticut","Race/Ethnicity","Native Hawaiian or Other Pacific Islander",258,66.2,256,62.8,121,64.2
"State of Connecticut","Race/Ethnicity","Two or More Races",9227,70.0,9211,65.0,3600,66.1
"State of Connecticut","Race/Ethnicity","White",140672,73.6,140465,69.6,62821,69.9
"State of Connecticut","Special Education Status (SWD)","Students with Disabilities",41270,47.4,41040,41.7,17183,46.6
"State of Connecticut","Special Education Status (SWD)","Students without Disabilities",224214,71.4,223872,67.0,97334,66.8

