"Performance Index, 2015-16"
"State of Connecticut"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."
"Starting with 2018-19, Connecticut began implementation of new science assessments aligned to the Next Generation Science Standards."
"Therefore, 2018-19 science performance index scores cannot be compared to those from prior years; they can serve as a baseline for future years."

"District Name","Category","Student Group","ELACount","ELAPerformanceIndex","MathCount","MathPerformanceIndex","ScienceCount","SciencePerformanceIndex"
"State of Connecticut","All Students","State",271088,67.7,270487,61.4,118048,57.5
"State of Connecticut","English Language Learners (EL)","English Learners",19204,51.0,19145,46.0,6938,38.1
"State of Connecticut","English Language Learners (EL)","Not English Learners",251884,69.0,251342,62.5,111110,58.7
"State of Connecticut","Gender","Female",132089,70.2,131817,61.6,57798,57.7
"State of Connecticut","Gender","Male",138999,65.3,138670,61.2,60250,57.3
"State of Connecticut","Grade","03",38516,70.0,38447,63.5,"N/A","N/A"
"State of Connecticut","Grade","04",38087,72.2,38028,66.2,"N/A","N/A"
"State of Connecticut","Grade","05",38757,69.6,38682,64.6,38940,57.6
"State of Connecticut","Grade","06",38848,69.8,38742,61.4,"N/A","N/A"
"State of Connecticut","Grade","07",39848,68.0,39726,60.1,"N/A","N/A"
"State of Connecticut","Grade","08",39174,65.4,39008,58.7,39600,56.6
"State of Connecticut","Grade","10","N/A","N/A","N/A","N/A",39508,58.3
"State of Connecticut","Grade","11",37858,58.6,37854,55.2,"N/A","N/A"
"State of Connecticut","High Needs (F/R, EL or SWD)","High Needs",128050,56.7,127623,49.9,54083,47.0
"State of Connecticut","High Needs (F/R, EL or SWD)","Not High Needs",143038,77.5,142864,71.6,63965,66.4
"State of Connecticut","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",103965,57.0,103649,49.8,43613,46.9
"State of Connecticut","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",167123,74.4,166838,68.6,74435,63.7
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Free",90860,56.0,90560,48.8,37795,45.9
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Non-Subsidized",167123,74.4,166838,68.6,74435,63.7
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Reduced",13105,63.3,13089,56.7,5818,53.2
"State of Connecticut","Race/Ethnicity","American Indian or Alaska Native",702,63.8,701,56.8,326,52.8
"State of Connecticut","Race/Ethnicity","Asian",13403,78.2,13385,76.2,5742,66.1
"State of Connecticut","Race/Ethnicity","Black or African American",34193,55.7,34100,47.7,14982,44.7
"State of Connecticut","Race/Ethnicity","Hispanic or Latino",59907,57.3,59734,50.2,24883,46.8
"State of Connecticut","Race/Ethnicity","Native Hawaiian or Other Pacific Islander",245,68.1,245,62.3,111,55.7
"State of Connecticut","Race/Ethnicity","Two or More Races",7175,69.8,7165,63.1,2762,59.1
"State of Connecticut","Race/Ethnicity","White",155463,73.3,155157,67.3,69242,63.4
"State of Connecticut","Special Education Status (SWD)","Students with Disabilities",42821,48.7,42573,42.4,18961,41.8
"State of Connecticut","Special Education Status (SWD)","Students without Disabilities",228267,71.3,227914,64.9,99087,60.5

