"Performance Index, 2022-23"
"State of Connecticut"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."
"Starting with 2018-19, Connecticut began implementation of new science assessments aligned to the Next Generation Science Standards."
"Therefore, 2018-19 science performance index scores cannot be compared to those from prior years; they can serve as a baseline for future years."

"District Name","Category","Student Group","ELACount","ELAPerformanceIndex","MathCount","MathPerformanceIndex","ScienceCount","SciencePerformanceIndex"
"State of Connecticut","All Students","State",251547,63.9,250666,59.7,108705,61.6
"State of Connecticut","English Language Learners (EL)","English Learners",31197,50.9,31076,47.8,11925,47.5
"State of Connecticut","English Language Learners (EL)","Not English Learners",220350,65.8,219590,61.4,96780,63.3
"State of Connecticut","Gender","Female",122787,65.8,122385,58.9,53051,61.7
"State of Connecticut","Gender","Male",128580,62.1,128103,60.4,55525,61.5
"State of Connecticut","Gender","Non-Binary",180,70.0,178,59.3,129,70.5
"State of Connecticut","Grade","03",35174,65.8,35098,62.1,"N/A","N/A"
"State of Connecticut","Grade","04",35237,69.2,35177,65.6,"N/A","N/A"
"State of Connecticut","Grade","05",35741,66.4,35667,64.4,35658,65.9
"State of Connecticut","Grade","06",35893,66.7,35742,59.7,"N/A","N/A"
"State of Connecticut","Grade","07",36294,64.0,36082,58.3,"N/A","N/A"
"State of Connecticut","Grade","08",37479,61.6,37175,56.1,37271,61.0
"State of Connecticut","Grade","11",35729,53.9,35725,51.9,35776,57.9
"State of Connecticut","High Needs (F/R, EL or SWD)","High Needs",135052,54.1,134323,48.9,56420,51.1
"State of Connecticut","High Needs (F/R, EL or SWD)","Not High Needs",116495,75.3,116343,72.2,52285,72.9
"State of Connecticut","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",108288,54.2,107698,48.5,45272,51.1
"State of Connecticut","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",143259,71.3,142968,68.2,63433,69.1
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Free",93466,53.3,92916,47.4,38788,50.1
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Non-Subsidized",143259,71.3,142968,68.2,63433,69.1
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Reduced",14822,59.7,14782,54.8,6484,56.6
"State of Connecticut","Race/Ethnicity","American Indian or Alaska Native",624,57.3,623,52.1,268,56.3
"State of Connecticut","Race/Ethnicity","Asian",13121,77.1,13099,77.7,5700,76.6
"State of Connecticut","Race/Ethnicity","Black or African American",31493,53.3,31329,45.8,13684,48.3
"State of Connecticut","Race/Ethnicity","Hispanic or Latino",73332,54.1,72989,48.8,30766,50.9
"State of Connecticut","Race/Ethnicity","Native Hawaiian or Other Pacific Islander",240,60.5,239,56.5,118,59.3
"State of Connecticut","Race/Ethnicity","Two or More Races",11374,66.7,11327,62.1,4561,64.8
"State of Connecticut","Race/Ethnicity","White",121363,70.9,121060,67.7,53608,69.3
"State of Connecticut","Special Education Status (SWD)","Students with Disabilities",43356,45.3,42951,40.1,18193,43.5
"State of Connecticut","Special Education Status (SWD)","Students without Disabilities",208191,67.8,207715,63.7,90512,65.2

