"Performance Index, 2023-24"
"State of Connecticut"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."
"Starting with 2018-19, Connecticut began implementation of new science assessments aligned to the Next Generation Science Standards."
"Therefore, 2018-19 science performance index scores cannot be compared to those from prior years; they can serve as a baseline for future years."

"District Name","Category","Student Group","ELACount","ELAPerformanceIndex","MathCount","MathPerformanceIndex","ScienceCount","SciencePerformanceIndex"
"State of Connecticut","All Students","State",250738,63.9,249913,60.2,109150,61.8
"State of Connecticut","English Language Learners (EL)","English Learners",32978,49.9,32847,48.3,12760,47.3
"State of Connecticut","English Language Learners (EL)","Not English Learners",217760,66.0,217066,62.0,96390,63.7
"State of Connecticut","Gender","Female",122336,65.8,121950,59.5,53227,61.8
"State of Connecticut","Gender","Male",128208,62.2,127771,60.9,55783,61.7
"State of Connecticut","Gender","Non-Binary",194,67.7,192,56.9,140,67.0
"State of Connecticut","Grade","03",33801,66.0,33734,63.1,"N/A","N/A"
"State of Connecticut","Grade","04",35572,69.3,35501,66.6,"N/A","N/A"
"State of Connecticut","Grade","05",35805,66.4,35736,65.2,35747,65.8
"State of Connecticut","Grade","06",35952,66.9,35794,60.7,"N/A","N/A"
"State of Connecticut","Grade","07",36216,64.1,36014,59.3,"N/A","N/A"
"State of Connecticut","Grade","08",36633,61.5,36386,57.1,36512,61.6
"State of Connecticut","Grade","11",36759,53.7,36748,49.9,36891,58.1
"State of Connecticut","High Needs (F/R, EL or SWD)","High Needs",137461,54.1,136735,49.5,58049,51.4
"State of Connecticut","High Needs (F/R, EL or SWD)","Not High Needs",113277,75.9,113178,73.0,51101,73.5
"State of Connecticut","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",110262,54.2,109687,49.1,46878,51.4
"State of Connecticut","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",140476,71.6,140226,68.8,62272,69.6
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Free",95791,53.4,95264,48.2,40436,50.5
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Non-Subsidized",140476,71.6,140226,68.8,62272,69.6
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Reduced",14471,59.5,14423,55.3,6442,57.2
"State of Connecticut","Race/Ethnicity","American Indian or Alaska Native",584,58.0,576,55.0,272,53.9
"State of Connecticut","Race/Ethnicity","Asian",13190,77.0,13161,77.9,5786,76.5
"State of Connecticut","Race/Ethnicity","Black or African American",30766,53.6,30622,46.6,13551,48.8
"State of Connecticut","Race/Ethnicity","Hispanic or Latino",75597,54.0,75254,49.5,32603,51.5
"State of Connecticut","Race/Ethnicity","Native Hawaiian or Other Pacific Islander",253,60.5,252,55.3,99,59.7
"State of Connecticut","Race/Ethnicity","Two or More Races",11886,67.1,11844,62.9,4802,64.8
"State of Connecticut","Race/Ethnicity","White",118462,71.2,118204,68.3,52037,69.7
"State of Connecticut","Special Education Status (SWD)","Students with Disabilities",44429,45.2,44021,40.4,18570,43.7
"State of Connecticut","Special Education Status (SWD)","Students without Disabilities",206309,67.9,205892,64.4,90580,65.5

