"Performance Index, 2021-22"
"State of Connecticut"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."
"Starting with 2018-19, Connecticut began implementation of new science assessments aligned to the Next Generation Science Standards."
"Therefore, 2018-19 science performance index scores cannot be compared to those from prior years; they can serve as a baseline for future years."

"District Name","Category","Student Group","ELACount","ELAPerformanceIndex","MathCount","MathPerformanceIndex","ScienceCount","SciencePerformanceIndex"
"State of Connecticut","All Students","State",252821,64.2,251836,58.6,109121,61.4
"State of Connecticut","English Language Learners (EL)","English Learners",30399,51.2,30284,46.8,11595,48.6
"State of Connecticut","English Language Learners (EL)","Not English Learners",222422,66.0,221552,60.2,97526,62.9
"State of Connecticut","Gender","Female",123714,66.3,123240,58.1,53447,61.5
"State of Connecticut","Gender","Male",128974,62.2,128465,59.1,55590,61.3
"State of Connecticut","Gender","Non-Binary",133,70.7,131,58.8,84,71.4
"State of Connecticut","Grade","03",34676,66.2,34582,60.5,"N/A","N/A"
"State of Connecticut","Grade","04",35414,68.9,35326,64.1,"N/A","N/A"
"State of Connecticut","Grade","05",35764,66.5,35670,62.8,35693,65.8
"State of Connecticut","Grade","06",36155,66.6,35960,58.4,"N/A","N/A"
"State of Connecticut","Grade","07",37241,64.2,36998,57.4,"N/A","N/A"
"State of Connecticut","Grade","08",38100,61.9,37832,55.0,37922,61.7
"State of Connecticut","Grade","11",35471,55.3,35468,52.4,35506,56.6
"State of Connecticut","High Needs (F/R, EL or SWD)","High Needs",132402,54.2,131642,47.7,55034,51.3
"State of Connecticut","High Needs (F/R, EL or SWD)","Not High Needs",120419,75.2,120194,70.6,54087,71.7
"State of Connecticut","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",105350,54.4,104736,47.3,43716,51.4
"State of Connecticut","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",147471,71.2,147100,66.7,65405,68.1
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Free",90811,53.6,90248,46.3,37438,50.6
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Non-Subsidized",147471,71.2,147100,66.7,65405,68.1
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Reduced",14539,59.7,14488,53.3,6278,56.1
"State of Connecticut","Race/Ethnicity","American Indian or Alaska Native",637,58.4,633,53.0,260,55.5
"State of Connecticut","Race/Ethnicity","Asian",13108,77.5,13087,76.6,5565,75.5
"State of Connecticut","Race/Ethnicity","Black or African American",31597,53.5,31410,44.9,13567,48.7
"State of Connecticut","Race/Ethnicity","Hispanic or Latino",71833,54.4,71464,47.6,29880,51.3
"State of Connecticut","Race/Ethnicity","Native Hawaiian or Other Pacific Islander",247,62.5,247,57.6,103,58.9
"State of Connecticut","Race/Ethnicity","Two or More Races",10808,67.0,10763,60.9,4351,64.0
"State of Connecticut","Race/Ethnicity","White",124591,71.0,124232,66.4,55395,68.3
"State of Connecticut","Special Education Status (SWD)","Students with Disabilities",41784,45.0,41391,38.8,17497,44.0
"State of Connecticut","Special Education Status (SWD)","Students without Disabilities",211037,68.0,210445,62.5,91624,64.7

