"Performance Index, 2017-18"
"State of Connecticut"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."
"Starting with 2018-19, Connecticut began implementation of new science assessments aligned to the Next Generation Science Standards."
"Therefore, 2018-19 science performance index scores cannot be compared to those from prior years; they can serve as a baseline for future years."

"District Name","Category","Student Group","ELACount","ELAPerformanceIndex","MathCount","MathPerformanceIndex","ScienceCount","SciencePerformanceIndex"
"State of Connecticut","All Students","State",268097,67.6,267615,62.7,"N/A","N/A"
"State of Connecticut","English Language Learners (EL)","English Learners",26909,54.5,26860,51.1,"N/A","N/A"
"State of Connecticut","English Language Learners (EL)","Not English Learners",241188,69.0,240755,64.0,"N/A","N/A"
"State of Connecticut","Gender","Female",130751,70.2,130530,62.9,"N/A","N/A"
"State of Connecticut","Gender","Male",137336,65.1,137075,62.5,"N/A","N/A"
"State of Connecticut","Gender","Non-Binary","*","*","*","*","N/A","N/A"
"State of Connecticut","Grade","03",36875,69.7,36824,64.3,"N/A","N/A"
"State of Connecticut","Grade","04",37843,72.1,37782,67.8,"N/A","N/A"
"State of Connecticut","Grade","05",39102,69.8,39046,66.7,"N/A","N/A"
"State of Connecticut","Grade","06",38565,69.5,38495,63.0,"N/A","N/A"
"State of Connecticut","Grade","07",38974,67.7,38857,61.2,"N/A","N/A"
"State of Connecticut","Grade","08",39146,65.9,39024,60.3,"N/A","N/A"
"State of Connecticut","Grade","11",37592,58.2,37587,55.7,"N/A","N/A"
"State of Connecticut","High Needs (F/R, EL or SWD)","High Needs",133462,57.5,133113,52.0,"N/A","N/A"
"State of Connecticut","High Needs (F/R, EL or SWD)","Not High Needs",134635,77.6,134502,73.3,"N/A","N/A"
"State of Connecticut","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",109967,57.8,109679,52.1,"N/A","N/A"
"State of Connecticut","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",158130,74.4,157936,70.0,"N/A","N/A"
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Free",95736,56.9,95472,51.2,"N/A","N/A"
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Non-Subsidized",158130,74.4,157936,70.0,"N/A","N/A"
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Reduced",14231,63.9,14207,58.8,"N/A","N/A"
"State of Connecticut","Race/Ethnicity","American Indian or Alaska Native",684,62.2,682,56.9,"N/A","N/A"
"State of Connecticut","Race/Ethnicity","Asian",13449,78.9,13437,78.8,"N/A","N/A"
"State of Connecticut","Race/Ethnicity","Black or African American",33956,56.5,33870,49.3,"N/A","N/A"
"State of Connecticut","Race/Ethnicity","Hispanic or Latino",65237,57.6,65090,52.1,"N/A","N/A"
"State of Connecticut","Race/Ethnicity","Native Hawaiian or Other Pacific Islander",285,68.3,285,62.8,"N/A","N/A"
"State of Connecticut","Race/Ethnicity","Two or More Races",8562,69.6,8549,64.5,"N/A","N/A"
"State of Connecticut","Race/Ethnicity","White",145924,73.5,145702,69.0,"N/A","N/A"
"State of Connecticut","Special Education Status (SWD)","Students with Disabilities",40164,47.4,39988,41.7,"N/A","N/A"
"State of Connecticut","Special Education Status (SWD)","Students without Disabilities",227933,71.1,227627,66.4,"N/A","N/A"

