"Performance Index, 2025-26"
"State of Connecticut"
"Notes:"
"The Performance Index is the average performance of students in a subject area (i.e., ELA, Mathematics or Science) on the state summative assessments."
"The Performance Index ranges from 0-100 and is reported for all students and for students in each individual student group."
"Connecticut's ultimate target for a Performance Index is 75."
"Starting with 2018-19, Connecticut began implementation of new science assessments aligned to the Next Generation Science Standards."
"Therefore, 2018-19 science performance index scores cannot be compared to those from prior years; they can serve as a baseline for future years."

"District Name","Category","Student Group","ELACount","ELAPerformanceIndex","MathCount","MathPerformanceIndex","ScienceCount","SciencePerformanceIndex"
"State of Connecticut","All Students","State",249645,65.0,248980,61.7,106189,63.1
"State of Connecticut","English Language Learners (EL)","English Learners",36344,51.4,36235,50.3,14090,48.6
"State of Connecticut","English Language Learners (EL)","Not English Learners",213301,67.3,212745,63.6,92099,65.3
"State of Connecticut","Gender","Female",121958,66.6,121653,60.7,51771,63.1
"State of Connecticut","Gender","Male",127538,63.5,127177,62.6,54305,63.2
"State of Connecticut","Gender","Non-Binary",149,65.2,150,55.3,113,67.1
"State of Connecticut","Grade","03",34881,66.6,34816,63.8,"N/A","N/A"
"State of Connecticut","Grade","04",36457,69.9,36398,67.9,"N/A","N/A"
"State of Connecticut","Grade","05",34379,67.3,34315,66.9,34322,66.7
"State of Connecticut","Grade","06",35941,67.9,35819,62.7,"N/A","N/A"
"State of Connecticut","Grade","07",36140,65.9,35984,61.0,"N/A","N/A"
"State of Connecticut","Grade","08",36277,62.9,36089,59.2,36204,62.9
"State of Connecticut","Grade","11",35570,54.3,35559,50.3,35663,59.9
"State of Connecticut","High Needs (F/R, EL or SWD)","High Needs",139096,55.4,138527,51.3,57646,52.6
"State of Connecticut","High Needs (F/R, EL or SWD)","Not High Needs",110549,77.1,110453,74.6,48543,75.7
"State of Connecticut","Free/Reduced Price Meal Eligibility (2-level)","Eligible For Free Or Reduced Price Meals",109460,55.4,109029,50.8,45647,52.6
"State of Connecticut","Free/Reduced Price Meal Eligibility (2-level)","Not Eligible For Free Or Reduced Price Meals",140185,72.5,139951,70.1,60542,71.1
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Free",94265,54.6,93873,50.0,39082,51.8
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Non-Subsidized",140185,72.5,139951,70.1,60542,71.1
"State of Connecticut","Free/Reduced Price Meal Eligibility (3-level)","Reduced",15195,60.3,15156,56.3,6565,57.5
"State of Connecticut","Race/Ethnicity","American Indian or Alaska Native",565,61.2,564,58.4,238,60.6
"State of Connecticut","Race/Ethnicity","Asian",13317,77.6,13291,79.3,5676,77.9
"State of Connecticut","Race/Ethnicity","Black or African American",29660,55.1,29570,48.7,12988,50.5
"State of Connecticut","Race/Ethnicity","Hispanic or Latino",78865,55.3,78595,51.3,33101,52.9
"State of Connecticut","Race/Ethnicity","Native Hawaiian or Other Pacific Islander",204,64.3,204,61.0,96,60.6
"State of Connecticut","Race/Ethnicity","Two or More Races",12720,68.0,12670,64.2,5267,66.1
"State of Connecticut","Race/Ethnicity","White",114314,72.4,114086,69.9,48823,71.4
"State of Connecticut","Special Education Status (SWD)","Students with Disabilities",46852,47.1,46493,42.4,19106,44.1
"State of Connecticut","Special Education Status (SWD)","Students without Disabilities",202793,69.1,202487,66.1,87083,67.3

